,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,0.271384438260128,2024-04-16 20:18:14.243073,2024-04-16 20:20:22.676871,0 days 00:02:08.433798,2048,0.6233434222065191,0.02175730809513379,COMPLETE
1,1,0.5472374302556683,2024-04-16 20:20:22.677869,2024-04-16 20:22:27.599112,0 days 00:02:04.921243,2048,0.3631986978670181,0.0011467192176859555,COMPLETE
2,2,1.8693183437736434,2024-04-16 20:22:27.600113,2024-04-16 20:24:09.797257,0 days 00:01:42.197144,1536,0.8053162361453294,0.0018840759832051256,COMPLETE
3,3,0.07024527895572318,2024-04-16 20:24:09.797257,2024-04-16 20:26:09.503970,0 days 00:01:59.706713,2048,0.7172696415833345,0.017576089152739435,COMPLETE
4,4,1.1153051206988454,2024-04-16 20:26:09.505973,2024-04-16 20:27:51.587449,0 days 00:01:42.081476,1024,0.7627171647848794,0.015484354265837497,COMPLETE
5,5,1.0421110361564818,2024-04-16 20:27:51.588449,2024-04-16 20:29:51.463068,0 days 00:01:59.874619,2048,0.95,0.01651889675478469,COMPLETE
6,6,0.43898812559213735,2024-04-16 20:29:51.465067,2024-04-16 20:31:45.062649,0 days 00:01:53.597582,2048,0.7425976636383983,0.062257762751650556,COMPLETE
7,7,0.6353708643135753,2024-04-16 20:31:45.062649,2024-04-16 20:33:37.449020,0 days 00:01:52.386371,2048,0.05,0.004113499473980056,COMPLETE
8,8,0.8214364753322583,2024-04-16 20:33:37.464648,2024-04-16 20:35:16.355243,0 days 00:01:38.890595,1024,0.052028554384513495,0.0010000000000000002,COMPLETE
9,9,2.9086932449993337,2024-04-16 20:35:16.356244,2024-04-16 20:36:58.748264,0 days 00:01:42.392020,1024,0.05,0.1,COMPLETE
10,10,1.046978226581125,2024-04-16 20:36:58.749262,2024-04-16 20:39:00.285460,0 days 00:02:01.536198,2048,0.05,0.0010000000000000002,COMPLETE
11,11,0.8349564041414949,2024-04-16 20:39:00.287457,2024-04-16 20:41:03.055557,0 days 00:02:02.768100,2048,0.4117303172509011,0.005242357156734988,COMPLETE
12,12,0.282574841098801,2024-04-16 20:41:03.057554,2024-04-16 20:43:02.433771,0 days 00:01:59.376217,2048,0.7272506431354832,0.024238936087596315,COMPLETE
13,13,10.928839801286319,2024-04-16 20:43:02.435767,2024-04-16 20:44:50.659498,0 days 00:01:48.223731,1024,0.9499999999999998,0.1,COMPLETE
14,14,0.09005106030025682,2024-04-16 20:44:50.661500,2024-04-16 20:46:28.504584,0 days 00:01:37.843084,1024,0.05,0.008208631604799304,COMPLETE
